gate,window_label,strategy_variant,dimension_type,dimension_value,row_count,gross_pnl_usd,estimated_etf_fees_usd,net_after_etf_fees_usd,total_fee_sides
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,M1_LADDER_SAME_INPUT,contract,ZNH2,659,640.625,478.67,161.95500000000018,317
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,M1_LADDER_SAME_INPUT,contract,ZNH3,1415,-2734.375,600.98,-3335.3549999999996,398
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,M1_LADDER_SAME_INPUT,contract,ZNH4,705,921.875,172.14000000000001,749.735,114
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,M1_LADDER_SAME_INPUT,contract,ZNM2,1490,5890.625,557.19,5333.435,369
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,M1_LADDER_SAME_INPUT,contract,ZNM3,1509,-140.625,557.19,-697.8149999999997,369
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,M1_LADDER_SAME_INPUT,contract,ZNU2,1506,-1546.875,356.36,-1903.2349999999997,236
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,M1_LADDER_SAME_INPUT,contract,ZNU3,1505,890.625,685.54,205.08500000000046,454
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,M1_LADDER_SAME_INPUT,contract,ZNZ2,1490,3328.125,530.01,2798.1150000000002,351
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,M1_LADDER_SAME_INPUT,contract,ZNZ3,1491,3093.75,1063.04,2030.7100000000007,704
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,M1_LADDER_SAME_INPUT,side,FLAT,9233,0.0,1748.58,-1748.58,1158
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,M1_LADDER_SAME_INPUT,side,LONG,572,-4531.25,536.05,-5067.299999999999,355
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,M1_LADDER_SAME_INPUT,side,SHORT,1965,14875.0,2716.4900000000002,12158.510000000004,1799
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,M1_LADDER_SAME_INPUT,position_bucket,0,9233,0.0,1748.58,-1748.58,1158
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,M1_LADDER_SAME_INPUT,position_bucket,1,1860,7625.0,1725.93,5899.070000000001,1143
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,M1_LADDER_SAME_INPUT,position_bucket,2,379,1031.25,644.77,386.48000000000087,427
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,M1_LADDER_SAME_INPUT,position_bucket,3,158,1593.75,380.52000000000004,1213.2300000000012,252
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2022_2023_INITIAL_DEV_RECON,M1_LADDER_SAME_INPUT,position_bucket,4_PLUS,140,93.75,501.32,-407.56999999999925,332
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2024_VALIDATION_STYLE,UNIT_NO_LADDER_SAME_INPUT,year,2024,5918,8453.125,1156.66,7296.465,766
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2024_VALIDATION_STYLE,UNIT_NO_LADDER_SAME_INPUT,contract,ZNH4,728,1187.5,169.12,1018.38,112
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2024_VALIDATION_STYLE,UNIT_NO_LADDER_SAME_INPUT,contract,ZNH5,725,2453.125,169.12,2284.005,112
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2024_VALIDATION_STYLE,UNIT_NO_LADDER_SAME_INPUT,contract,ZNM4,1491,1453.125,232.54,1220.585,154
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2024_VALIDATION_STYLE,UNIT_NO_LADDER_SAME_INPUT,contract,ZNU4,1483,-1093.75,235.56,-1329.31,156
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2024_VALIDATION_STYLE,UNIT_NO_LADDER_SAME_INPUT,contract,ZNZ4,1491,4453.125,350.32,4102.805,232
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2024_VALIDATION_STYLE,UNIT_NO_LADDER_SAME_INPUT,side,FLAT,5252,0.0,519.44,-519.44,344
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2024_VALIDATION_STYLE,UNIT_NO_LADDER_SAME_INPUT,side,LONG,298,2734.375,292.94,2441.435,194
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2024_VALIDATION_STYLE,UNIT_NO_LADDER_SAME_INPUT,side,SHORT,368,5718.75,344.28000000000003,5374.47,228
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2024_VALIDATION_STYLE,UNIT_NO_LADDER_SAME_INPUT,position_bucket,0,5252,0.0,519.44,-519.44,344
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2024_VALIDATION_STYLE,UNIT_NO_LADDER_SAME_INPUT,position_bucket,1,583,2640.625,507.36,2133.265,336
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2024_VALIDATION_STYLE,UNIT_NO_LADDER_SAME_INPUT,position_bucket,2,83,5812.5,129.86,5682.64,86
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2024_VALIDATION_STYLE,M1_LADDER_SAME_INPUT,year,2024,5918,29968.75,5349.93,24618.820000000003,3543
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2024_VALIDATION_STYLE,M1_LADDER_SAME_INPUT,contract,ZNH4,728,1078.125,622.12,456.00500000000034,412
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2024_VALIDATION_STYLE,M1_LADDER_SAME_INPUT,contract,ZNH5,725,8218.75,866.74,7352.01,574
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2024_VALIDATION_STYLE,M1_LADDER_SAME_INPUT,contract,ZNM4,1491,7562.5,1058.51,6503.990000000001,701
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2024_VALIDATION_STYLE,M1_LADDER_SAME_INPUT,contract,ZNU4,1483,-1531.25,1132.5,-2663.7499999999995,750
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2024_VALIDATION_STYLE,M1_LADDER_SAME_INPUT,contract,ZNZ4,1491,14640.625,1670.06,12970.565,1106
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2024_VALIDATION_STYLE,M1_LADDER_SAME_INPUT,side,FLAT,3877,0.0,1540.2,-1540.2,1020
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2024_VALIDATION_STYLE,M1_LADDER_SAME_INPUT,side,LONG,916,7484.375,1766.7,5717.675000000001,1170
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2024_VALIDATION_STYLE,M1_LADDER_SAME_INPUT,side,SHORT,1125,22484.375,2043.03,20441.345,1353
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2024_VALIDATION_STYLE,M1_LADDER_SAME_INPUT,position_bucket,0,3877,0.0,1540.2,-1540.2,1020
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2024_VALIDATION_STYLE,M1_LADDER_SAME_INPUT,position_bucket,1,1121,-5343.75,1285.01,-6628.76,851
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2024_VALIDATION_STYLE,M1_LADDER_SAME_INPUT,position_bucket,2,456,3281.25,850.13,2431.1200000000003,563
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2024_VALIDATION_STYLE,M1_LADDER_SAME_INPUT,position_bucket,3,186,6421.875,475.65000000000003,5946.225,315
S27_ZN_LADDER_ATTRIBUTION_AND_BASELINE_RECONCILIATION,2024_VALIDATION_STYLE,M1_LADDER_SAME_INPUT,position_bucket,4_PLUS,278,25609.375,1198.94,24410.435,794
