"row_id","author_market_code","descriptive_name","source_exchange","official_source_url","official_source_type","evidence_intake_status","official_exchange_venue","official_product_code","official_product_name","official_currency","official_contract_unit","official_multiplier_semantics","official_point_value","official_price_quotation","official_tick_size","official_tick_value","official_active_listed_status","official_contract_variant","official_delivery_cycle","source_provider_reconciliation_status","market_row_access_status","provider_api_accessed","ninjatrader_historical_export_used","production_contract_identity_lock_status","notes"
"APPENDIX_C_174_002","MNQ","Nasdaq (micro)","GLOBEX","https://www.cmegroup.com/markets/equities/nasdaq/micro-e-mini-nasdaq-100.contractSpecs.html; https://www.cmegroup.com/trading/equity-index/files/cme-micro-e-mini-futures-fact-card.pdf","CME_GROUP_OFFICIAL_STATIC_SPEC_OR_OFFICIAL_FACT_CARD","STATIC_FIELDS_EXTRACTED_CONTRACT_IDENTITY_NOT_LOCKED","CME","MNQ","Micro E-mini Nasdaq-100 Futures","USD","USD 2 times Nasdaq-100 Index","point value is USD 2 per index point","2","index points","0.25","0.5","OFFICIAL_CURRENT_SPEC_SOURCE_IDENTIFIED_NOT_TRADABILITY_LOCK","micro e-mini equity index future","Mar Jun Sep Dec quarterly equity index cycle requires final rulebook confirmation","GLOBEX_SOURCE_LABEL_IS_PLATFORM_NOT_EXCHANGE_REQUIRES_NORMALIZATION_TO_CME","NO_MARKET_ROW_ACCESS","NO","NO","NOT_LOCKED","CME micro e-mini fact card supports contract size and tick; final lock still needs source-hash and venue normalization."
"APPENDIX_C_174_004","M2K","Russell 2000 smallcap (micro)","GLOBEX","https://www.cmegroup.com/markets/equities/russell/micro-e-mini-russell-2000.contractSpecs.html; https://www.cmegroup.com/trading/equity-index/files/cme-micro-e-mini-futures-fact-card.pdf","CME_GROUP_OFFICIAL_STATIC_SPEC_OR_OFFICIAL_FACT_CARD","STATIC_FIELDS_EXTRACTED_CONTRACT_IDENTITY_NOT_LOCKED","CME","M2K","Micro E-mini Russell 2000 Futures","USD","USD 5 times Russell 2000 Index","point value is USD 5 per index point","5","index points","0.1","0.5","OFFICIAL_CURRENT_SPEC_SOURCE_IDENTIFIED_NOT_TRADABILITY_LOCK","micro e-mini equity index future","Mar Jun Sep Dec quarterly equity index cycle requires final rulebook confirmation","GLOBEX_SOURCE_LABEL_IS_PLATFORM_NOT_EXCHANGE_REQUIRES_NORMALIZATION_TO_CME","NO_MARKET_ROW_ACCESS","NO","NO","NOT_LOCKED","CME micro e-mini fact card supports contract size and tick; final lock still needs source-hash and venue normalization."
"APPENDIX_C_174_005","EMD","S&P 400 midcap (e-mini)","GLOBEX","https://www.cmegroup.com/markets/equities/sp/e-mini-sandp-midcap-400.contractSpecs.html; CME equity index rulebook source required for final lock","CME_GROUP_OFFICIAL_STATIC_SPEC_OR_RULEBOOK","STATIC_FIELDS_EXTRACTED_CONTRACT_IDENTITY_NOT_LOCKED","CME","EMD","E-mini S&P MidCap 400 Futures","USD","USD 100 times S&P MidCap 400 Index","point value is USD 100 per index point","100","index points","0.1","10","OFFICIAL_CURRENT_SPEC_SOURCE_IDENTIFIED_NOT_TRADABILITY_LOCK","e-mini equity index future","Mar Jun Sep Dec quarterly equity index cycle requires final rulebook confirmation","GLOBEX_SOURCE_LABEL_IS_PLATFORM_NOT_EXCHANGE_REQUIRES_NORMALIZATION_TO_CME","NO_MARKET_ROW_ACCESS","NO","NO","NOT_LOCKED","Static fields align with provider candidate; final lock still requires source-hash and venue normalization."
"APPENDIX_C_174_006","MES","S&P 500 (micro)","GLOBEX","https://www.cmegroup.com/markets/equities/sp/micro-e-mini-sandp-500.contractSpecs.html; https://www.cmegroup.com/trading/equity-index/us-index/micro-e-mini-sandp-500_contract_specifications.html","CME_GROUP_OFFICIAL_STATIC_SPEC_OR_LEGACY_STATIC_SPEC","STATIC_FIELDS_EXTRACTED_CONTRACT_IDENTITY_NOT_LOCKED","CME","MES","Micro E-mini S&P 500 Futures","USD","USD 5 times S&P 500 Index","point value is USD 5 per index point","5","index points","0.25","1.25","OFFICIAL_CURRENT_SPEC_SOURCE_IDENTIFIED_NOT_TRADABILITY_LOCK","micro e-mini equity index future","Mar Jun Sep Dec quarterly equity index cycle requires final rulebook confirmation","GLOBEX_SOURCE_LABEL_IS_PLATFORM_NOT_EXCHANGE_REQUIRES_NORMALIZATION_TO_CME","NO_MARKET_ROW_ACCESS","NO","NO","NOT_LOCKED","Official CME material supports USD 5 times index and 0.25 index point tick; final lock still requires source-hash and venue normalization."
"APPENDIX_C_175_002","CAC40","French CAC 40","MONEP","https://live.euronext.com/en/product/index-futures/FCE-DPAR/contract-specification","EURONEXT_OFFICIAL_CONTRACT_SPEC_PAGE","STATIC_FIELDS_EXTRACTED_FAIL_CLOSED_EXCHANGE_LABEL_RECONCILIATION_REQUIRED","Euronext Paris","FCE","CAC 40 Index Future","EUR","EUR 10 per index point","point value is EUR 10 per index point","10","index points","0.5","5","OFFICIAL_CURRENT_SPEC_SOURCE_IDENTIFIED_NOT_TRADABILITY_LOCK","cash-settled equity index future","1 2 3 monthly; 6 9 12 quarterly; 18 through 60 half-yearly per Euronext source","APPENDIX_C_MONEP_LABEL_REQUIRES_RECONCILIATION_TO_EURONEXT_PARIS","NO_MARKET_ROW_ACCESS","NO","NO","NOT_LOCKED","Euronext static fields are strong, but MONEP-to-Euronext venue normalization remains a separate lock."
"APPENDIX_C_177_004","NIFTY","Indian NIFTY","SGX","https://www.sgx.com/derivatives/products/gift-connect?cc=GIN; NSE_IX_OFFICIAL_NIFTY_SPEC_REQUIRED","SGX_OFFICIAL_GIFT_CONNECT_PAGE_AND_NSE_IX_SPEC_REQUIRED","STATIC_FIELDS_EXTRACTED_FAIL_CLOSED_SOURCE_PROVIDER_VARIANT_RECONCILIATION_REQUIRED","SGX-ICI routed to NSE IFSC/NSE IX; final venue unresolved","NIFTY","NSE IFSC Nifty 50 Index Futures via GIFT Connect","USD","2 times futures price per SGX GIFT Connect source","point value is USD 2 per index point for SGX/GIFT source; NinjaTrader candidate point value 75 is unresolved variant mismatch risk","2","index points","0.5","1","OFFICIAL_GIFT_CONNECT_SOURCE_IDENTIFIED_NOT_LOCAL_PROVIDER_TRADABILITY_LOCK","USD-denominated Nifty index future via SGX/NSE IFSC connect","three monthly expiries and three quarterly expiries per SGX source","HIGH_RISK_SOURCE_PROVIDER_MULTIPLIER_MISMATCH; DO_NOT_SILENTLY_MAP_SGX_NIFTY_GIFT_NIFTY_NSE_IX_OR_NINJATRADER_VARIANTS","NO_MARKET_ROW_ACCESS","NO","NO","NOT_LOCKED","This row remains fail-closed until SGX transition and NSE IX/local provider identity are explicitly reconciled."
"APPENDIX_C_179_007","NOK","NOK/USD","GLOBEX","https://www.cmegroup.com/content/dam/cmegroup/rulebook/CME/III/250/264/264.pdf","CME_RULEBOOK_CHAPTER","STATIC_FIELDS_EXTRACTED_FAIL_CLOSED_PROVIDER_TICK_MISMATCH_REVIEW_REQUIRED","CME","NOK","Norwegian Krone/U.S. Dollar Futures","USD","NOK 2000000","contract unit is NOK 2000000; USD tick value depends on USD per NOK quote increment","2000000","USD per Norwegian krone","0.000025","50","OFFICIAL_RULEBOOK_SOURCE_IDENTIFIED_NOT_TRADABILITY_LOCK","FX future","delivery cycle not extracted in this gate; rulebook extraction required","PROVIDER_TICK_VALUE_20_DIFFERS_FROM_RULEBOOK_TICK_VALUE_50; GLOBEX_SOURCE_LABEL_IS_PLATFORM_NOT_EXCHANGE","NO_MARKET_ROW_ACCESS","NO","NO","NOT_LOCKED","Official rulebook indicates a larger tick than NinjaTrader static extract; fail-closed for reconciliation."
"APPENDIX_C_179_009","SEK","SEK/USD","GLOBEX","https://www.cmegroup.com/markets/fx/g10/swedish-krona.contractSpecs.html; https://www.cmegroup.com/rulebook/CME/III/250/265/265.pdf","CME_GROUP_OFFICIAL_STATIC_SPEC_OR_RULEBOOK","STATIC_FIELDS_EXTRACTED_FAIL_CLOSED_PROVIDER_TICK_MISMATCH_REVIEW_REQUIRED","CME","SEK","Swedish Krona/U.S. Dollar Futures","USD","SEK 2000000","contract unit is SEK 2000000; USD tick value depends on USD per SEK quote increment","2000000","USD per Swedish krona","0.000025","50","OFFICIAL_CURRENT_SPEC_OR_RULEBOOK_SOURCE_IDENTIFIED_NOT_TRADABILITY_LOCK","FX future","delivery cycle not extracted in this gate; rulebook extraction required","PROVIDER_TICK_VALUE_20_DIFFERS_FROM_RULEBOOK_TICK_VALUE_50; GLOBEX_SOURCE_LABEL_IS_PLATFORM_NOT_EXCHANGE","NO_MARKET_ROW_ACCESS","NO","NO","NOT_LOCKED","Official rulebook/source indicates a larger tick than NinjaTrader static extract; fail-closed for reconciliation."
"APPENDIX_C_181_002","HG","Copper","NYMEX","https://www.cmegroup.com/markets/metals/base/copper.contractSpecs.html; https://www.cmegroup.com/trading/metals/files/copper-futures-and-options.pdf","CME_GROUP_OFFICIAL_STATIC_SPEC_OR_OFFICIAL_FACT_CARD","STATIC_FIELDS_EXTRACTED_FAIL_CLOSED_EXCHANGE_LABEL_RECONCILIATION_REQUIRED","COMEX","HG","Copper Futures","USD","25000 pounds","point value is USD 25000 per USD-per-pound price point","25000","USD per pound","0.0005","12.5","OFFICIAL_CURRENT_SPEC_SOURCE_IDENTIFIED_NOT_TRADABILITY_LOCK","base metal future","delivery cycle not extracted in this gate; COMEX rulebook/spec extraction required","APPENDIX_C_NYMEX_LABEL_REQUIRES_RECONCILIATION_TO_COMEX","NO_MARKET_ROW_ACCESS","NO","NO","NOT_LOCKED","Static contract size and tick are extracted; venue mismatch remains fail-closed."
"APPENDIX_C_181_003","MGC","Gold (micro)","NYMEX","https://www.cmegroup.com/markets/metals/precious/e-micro-gold.contractSpecs.html; https://www.cmegroup.com/markets/metals/precious/e-micro-gold.html","CME_GROUP_OFFICIAL_STATIC_SPEC_OR_PRODUCT_PAGE","STATIC_FIELDS_EXTRACTED_FAIL_CLOSED_EXCHANGE_LABEL_RECONCILIATION_REQUIRED","COMEX","MGC","Micro Gold Futures","USD","10 troy ounces","point value is USD 10 per USD-per-troy-ounce price point","10","USD per troy ounce","0.1","1","OFFICIAL_CURRENT_SPEC_SOURCE_IDENTIFIED_NOT_TRADABILITY_LOCK","micro precious metal future","delivery cycle not extracted in this gate; COMEX rulebook/spec extraction required","APPENDIX_C_NYMEX_LABEL_REQUIRES_RECONCILIATION_TO_COMEX; MICRO_VARIANT_CORROBORATED_NOT_LOCKED","NO_MARKET_ROW_ACCESS","NO","NO","NOT_LOCKED","Static contract size and tick are extracted; venue mismatch remains fail-closed."
"APPENDIX_C_181_005","PA","Palladium","NYMEX","https://www.cmegroup.com/markets/metals/precious/palladium.contractSpecs.html","CME_GROUP_OFFICIAL_STATIC_SPEC_PAGE","STATIC_FIELDS_PARTIAL_EXTRACTED_FAIL_CLOSED_DELIVERY_CYCLE_REVIEW_REQUIRED","NYMEX","PA","Palladium Futures","USD","100 troy ounces","point value is USD 100 per USD-per-troy-ounce price point","100","USD per troy ounce","0.5","50","OFFICIAL_CURRENT_SPEC_SOURCE_IDENTIFIED_NOT_TRADABILITY_LOCK","precious metal future","delivery cycle not extracted in this gate; NYMEX rulebook/spec extraction required","NYMEX_PROVIDER_VALUES_CORROBORATE_NOT_LOCK","NO_MARKET_ROW_ACCESS","NO","NO","NOT_LOCKED","Contract size and tick align with provider extract; final lock still requires source-hash and delivery-cycle extraction."
"APPENDIX_C_181_006","PL","Platinum","NYMEX","https://www.cmegroup.com/markets/metals/precious/platinum.contractSpecs.html","CME_GROUP_OFFICIAL_STATIC_SPEC_PAGE","STATIC_FIELDS_PARTIAL_EXTRACTED_FAIL_CLOSED_DELIVERY_CYCLE_REVIEW_REQUIRED","NYMEX","PL","Platinum Futures","USD","50 troy ounces","point value is USD 50 per USD-per-troy-ounce price point","50","USD per troy ounce","0.1","5","OFFICIAL_CURRENT_SPEC_SOURCE_IDENTIFIED_NOT_TRADABILITY_LOCK","precious metal future","delivery cycle not extracted in this gate; NYMEX rulebook/spec extraction required","NYMEX_PROVIDER_VALUES_CORROBORATE_NOT_LOCK","NO_MARKET_ROW_ACCESS","NO","NO","NOT_LOCKED","Contract size and tick align with provider extract; final lock still requires source-hash and delivery-cycle extraction."
"APPENDIX_C_181_007","SI","Silver","NYMEX","https://www.cmegroup.com/markets/metals/precious/silver.contractSpecs.html","CME_GROUP_OFFICIAL_STATIC_SPEC_PAGE","STATIC_FIELDS_EXTRACTED_FAIL_CLOSED_MULTIPLIER_AND_EXCHANGE_RECONCILIATION_REQUIRED","COMEX","SI","Silver Futures","USD","5000 troy ounces","point value is USD 5000 per USD-per-troy-ounce price point","5000","USD per troy ounce","0.005","25","OFFICIAL_CURRENT_SPEC_SOURCE_IDENTIFIED_NOT_TRADABILITY_LOCK","precious metal future","delivery cycle not extracted in this gate; COMEX rulebook/spec extraction required","APPENDIX_C_SOURCE_MULTIPLIER_1000_DIFFERS_FROM_OFFICIAL_FULL_SILVER_5000; APPENDIX_C_NYMEX_LABEL_REQUIRES_RECONCILIATION_TO_COMEX","NO_MARKET_ROW_ACCESS","NO","NO","NOT_LOCKED","Fail-closed because Appendix C multiplier points to a possible small/mini silver interpretation while provider candidate is full SI."
"APPENDIX_C_181_008","MBT","Bitcoin (micro)","CME","https://www.cmegroup.com/markets/cryptocurrencies/bitcoin/micro-bitcoin.contractSpecs.html","CME_GROUP_OFFICIAL_STATIC_SPEC_PAGE","STATIC_FIELDS_PARTIAL_EXTRACTED_FAIL_CLOSED_DELIVERY_CYCLE_REVIEW_REQUIRED","CME","MBT","Micro Bitcoin Futures","USD","0.1 bitcoin","point value is USD 0.1 per USD-per-bitcoin price point","0.1","USD per bitcoin","5","0.5","OFFICIAL_CURRENT_SPEC_SOURCE_IDENTIFIED_NOT_TRADABILITY_LOCK","micro cryptocurrency future","delivery cycle not extracted in this gate; CME crypto spec extraction required","CME_PROVIDER_VALUES_CORROBORATE_NOT_LOCK","NO_MARKET_ROW_ACCESS","NO","NO","NOT_LOCKED","Contract size and tick align with provider extract; final lock still requires source-hash and delivery-cycle extraction."
"APPENDIX_C_182_001","BZ","Brent Crude last day","NYMEX","https://www.cmegroup.com/markets/energy/crude-oil/brent-crude-oil-last-day.contractSpecs.html","CME_GROUP_OFFICIAL_STATIC_SPEC_PAGE","STATIC_FIELDS_PARTIAL_EXTRACTED_FAIL_CLOSED_DELIVERY_CYCLE_REVIEW_REQUIRED","NYMEX","BZ","Brent Last Day Financial Futures","USD","1000 barrels","point value is USD 1000 per USD-per-barrel price point","1000","USD per barrel","0.01","10","OFFICIAL_CURRENT_SPEC_SOURCE_IDENTIFIED_NOT_TRADABILITY_LOCK","last-day financial crude oil future","delivery cycle not extracted in this gate; NYMEX energy spec extraction required","NYMEX_LAST_DAY_FINANCIAL_VARIANT_CORROBORATED_NOT_LOCKED","NO_MARKET_ROW_ACCESS","NO","NO","NOT_LOCKED","Contract size and tick align with provider extract; final lock still requires source-hash and delivery-cycle extraction."
"APPENDIX_C_182_002","QM","WTI Crude (mini)","NYMEX","https://www.cmegroup.com/markets/energy/crude-oil/e-mini-crude-oil.contractSpecs.html; https://www.cmegroup.com/trading/energy/files/micro-wti-crude-oil-futures-fact-card.pdf","CME_GROUP_OFFICIAL_STATIC_SPEC_OR_OFFICIAL_FACT_CARD","STATIC_FIELDS_EXTRACTED_CONTRACT_IDENTITY_NOT_LOCKED","NYMEX","QM","E-mini Crude Oil Futures","USD","500 barrels","point value is USD 500 per USD-per-barrel price point","500","USD per barrel","0.025","12.5","OFFICIAL_CURRENT_SPEC_SOURCE_IDENTIFIED_NOT_TRADABILITY_LOCK","e-mini crude oil future","delivery cycle not extracted in this gate; NYMEX energy spec extraction required","NYMEX_E_MINI_VARIANT_CORROBORATED_NOT_LOCKED","NO_MARKET_ROW_ACCESS","NO","NO","NOT_LOCKED","Official fact card supports mini WTI size and tick; final lock still requires source-hash and delivery-cycle extraction."
